"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","1.0","10.0","0.0","0.0","-0.1","0.0","0.0","1.0"
"Ryan Grant","IND","1.8","20.1","0.1","0.0","0.0","0.0","0.0","2.6"
"","high","2.1","23.0","0.2","0.0","0.0","0.0","0.0","3.3"
"","low","1.5","16.8","0.0","0.0","0.0","0.0","0.0","2.0"
"Allen Hurns","DAL","1.5","19.8","0.1","0.0","0.0","0.0","0.0","2.6"
"","high","2.4","32.1","0.2","0.0","0.0","0.0","0.0","4.4"
"","low","0.9","10.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Demarcus Robinson","KC","1.4","19.1","0.1","0.0","0.0","0.0","0.1","2.6"
"","high","2.0","28.7","0.3","0.0","0.0","0.0","0.0","4.1"
"","low","0.3","2.9","0.0","0.0","0.0","0.0","0.2","0.4"
"Maurice Harris","WAS","2.0","21.4","0.1","0.1","0.3","0.0","0.0","2.5"
"","high","2.7","25.8","0.1","0.2","1.0","0.0","0.0","3.3"
"","low","1.4","18.0","0.0","0.0","0.0","0.0","0.1","2.0"
"Cam Batson","TEN","1.5","18.3","0.1","0.1","0.2","0.0","0.0","2.5"
"","high","2.3","22.0","0.2","0.2","0.4","0.0","0.0","3.0"
"","low","0.9","12.0","0.1","0.0","0.0","0.0","0.0","1.5"
"Tim Patrick","DEN","1.3","17.8","0.1","0.0","0.5","0.0","0.0","2.5"
"","high","2.1","27.6","0.2","0.1","1.9","0.0","0.0","4.2"
"","low","0.2","4.3","0.0","0.0","0.0","0.0","0.0","0.6"
"Andre Holmes","BUF","1.3","17.3","0.1","0.0","0.0","0.0","0.0","2.3"
"","high","1.5","22.4","0.1","0.0","0.0","0.0","0.0","2.8"
"","low","1.1","14.5","0.1","0.0","0.0","0.0","0.0","2.1"
"Justin Watson","TB","1.3","17.1","0.1","0.0","0.1","0.0","0.0","2.3"
"","high","1.7","26.6","0.2","0.1","0.5","0.0","0.0","3.4"
"","low","0.6","4.2","0.0","0.0","0.0","0.0","0.1","0.5"
"Keith Kirkwood","NO","1.4","17.8","0.1","0.0","0.2","0.0","0.0","2.2"
"","high","2.0","25.0","0.2","0.1","0.7","0.0","0.0","3.3"
"","low","0.3","5.4","0.0","0.0","0.0","0.0","0.1","0.7"
"Breshad Perriman","CLE","1.5","18.2","0.1","0.1","0.1","0.0","0.0","2.2"
"","high","2.0","23.9","0.1","0.3","0.8","0.0","0.0","3.0"
"","low","1.0","11.5","0.0","0.0","-0.3","0.0","0.0","1.0"
"J.J. Nelson","ARI","1.3","17.5","0.1","0.1","0.7","0.0","0.0","2.1"
"","high","2.0","30.0","0.1","0.3","1.8","0.0","0.0","3.4"
"","low","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Jarius Wright","CAR","1.3","15.1","0.1","0.0","0.6","0.0","0.0","2.0"
"","high","2.2","24.4","0.2","0.1","2.5","0.0","0.0","3.6"
"","low","0.6","8.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Jordan Matthews","PHI","1.1","15.2","0.1","0.0","0.0","0.0","0.0","1.9"
"","high","1.7","21.0","0.1","0.0","0.0","0.0","0.0","2.7"
"","low","0.7","10.0","0.0","0.0","0.0","0.0","0.1","1.0"
"Brice Butler","MIA","0.9","13.0","0.1","0.0","0.0","0.0","0.1","1.8"
"","high","1.6","24.0","0.2","0.0","0.0","0.0","0.0","3.6"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0"
"Trent Taylor","SF","1.3","13.4","0.1","0.0","0.0","0.0","0.0","1.7"
"","high","2.4","23.7","0.1","0.0","0.0","0.0","0.0","3.0"
"","low","0.4","3.5","0.0","0.0","0.0","0.0","0.1","0.5"
"Rashad Greene","JAC","1.1","13.5","0.1","0.0","0.0","0.0","0.1","1.6"
"","high","1.6","19.0","0.1","0.0","0.0","0.0","0.0","2.5"
"","low","0.3","2.4","0.0","0.0","0.0","0.0","0.2","0.2"
"Andy Jones","DET","0.9","11.8","0.1","0.0","0.0","0.0","0.1","1.6"
"","high","1.8","22.8","0.2","0.0","0.0","0.0","0.0","3.5"
"","low","0.1","1.5","0.0","0.0","0.0","0.0","0.1","0.1"
"Isaiah Ford","MIA","0.9","10.0","0.1","0.0","0.0","0.0","0.0","1.6"
"","high","0.9","10.0","0.1","0.0","0.0","0.0","0.0","1.3"
"","low","0.9","10.0","0.1","0.0","0.0","0.0","0.0","1.3"
